time,value
2.2796976E+01,1.75488E+00
2.2797159E+01,1.71582E+00
2.2797342E+01,1.75488E+00
2.2797526E+01,1.68652E+00
2.2797709E+01,1.78418E+00
2.2797892E+01,1.71582E+00
2.2798075E+01,1.74512E+00
2.2798259E+01,1.77441E+00
2.2798442E+01,1.74512E+00
2.2798625E+01,1.75488E+00
2.2798809E+01,1.67676E+00
2.2798992E+01,1.71582E+00
2.2799175E+01,1.75488E+00
2.2799359E+01,1.73535E+00
2.2799542E+01,1.75488E+00
2.2799725E+01,1.68652E+00
2.2799908E+01,1.69629E+00
2.2800092E+01,1.71582E+00
2.2800275E+01,1.70605E+00
2.2800458E+01,1.65723E+00
2.2800642E+01,1.70605E+00
2.2800825E+01,1.78418E+00
2.2801008E+01,1.75488E+00
2.2801192E+01,1.75488E+00
2.2801375E+01,1.81348E+00
2.2801558E+01,1.67676E+00
2.2801741E+01,1.74512E+00
2.2801925E+01,1.67676E+00
2.2802108E+01,1.74512E+00
2.2802291E+01,1.71582E+00
2.2802475E+01,1.75488E+00
2.2802658E+01,1.69629E+00
2.2802841E+01,1.70605E+00
2.2803025E+01,1.77441E+00
2.2803208E+01,1.74512E+00
2.2803391E+01,1.72559E+00
2.2803574E+01,1.69629E+00
2.2803758E+01,1.74512E+00
2.2803941E+01,1.79395E+00
2.2804124E+01,1.74512E+00
2.2804308E+01,1.70605E+00
2.2804491E+01,1.71582E+00
2.2804674E+01,1.76465E+00
2.2804858E+01,1.75488E+00
2.2805041E+01,1.77441E+00
2.2805224E+01,1.73535E+00
2.2805407E+01,1.71582E+00
2.2805591E+01,1.71582E+00
2.2805774E+01,1.74512E+00
2.2805957E+01,1.72559E+00
2.2806141E+01,1.72559E+00
2.2806324E+01,1.72559E+00
2.2806507E+01,1.71582E+00
2.2806691E+01,1.73535E+00
2.2806874E+01,1.76465E+00
2.2807057E+01,1.73535E+00
2.2807240E+01,1.73535E+00
2.2807424E+01,1.74512E+00
2.2807607E+01,1.73535E+00
2.2807790E+01,1.72559E+00
2.2807974E+01,1.66699E+00
2.2808157E+01,1.71582E+00
2.2808340E+01,1.73535E+00
2.2808524E+01,1.81348E+00
2.2808707E+01,1.76465E+00
2.2808890E+01,1.72559E+00
2.2809073E+01,1.69629E+00
2.2809257E+01,1.74512E+00
2.2809440E+01,1.73535E+00
2.2809623E+01,1.71582E+00
2.2809807E+01,1.77441E+00
2.2809990E+01,1.69629E+00
2.2810173E+01,1.72559E+00
2.2810357E+01,1.70605E+00
2.2810540E+01,1.73535E+00
2.2810723E+01,1.69629E+00
2.2810906E+01,1.82324E+00
2.2811090E+01,1.69629E+00
2.2811273E+01,1.66699E+00
2.2811456E+01,1.74512E+00
2.2811640E+01,1.66699E+00
2.2811823E+01,1.70605E+00
2.2812006E+01,1.77441E+00
2.2812190E+01,1.76465E+00
2.2812373E+01,1.70605E+00
2.2812556E+01,1.70605E+00
2.2812739E+01,1.69629E+00
2.2812923E+01,1.71582E+00
2.2813106E+01,1.69629E+00
2.2813289E+01,1.77441E+00
2.2813473E+01,1.69629E+00
2.2813656E+01,1.77441E+00
2.2813839E+01,1.68652E+00
2.2814023E+01,1.76465E+00
2.2814206E+01,1.73535E+00
2.2814389E+01,1.76465E+00
2.2814572E+01,1.67676E+00
2.2814756E+01,1.64746E+00
2.2814939E+01,1.69629E+00
2.2815122E+01,1.70605E+00
2.2815306E+01,1.69629E+00
2.2815489E+01,1.66699E+00
2.2815672E+01,1.74512E+00
2.2815856E+01,1.77441E+00
2.2816039E+01,1.67676E+00
2.2816222E+01,1.75488E+00
2.2816405E+01,1.73535E+00
2.2816589E+01,1.67676E+00
2.2816772E+01,1.73535E+00
2.2816955E+01,1.76465E+00
2.2817139E+01,1.72559E+00
2.2817322E+01,1.68652E+00
2.2817505E+01,1.69629E+00
2.2817689E+01,1.70605E+00
2.2817872E+01,1.68652E+00
2.2818055E+01,1.69629E+00
2.2818238E+01,1.71582E+00
2.2818422E+01,1.71582E+00
2.2818605E+01,1.75488E+00
2.2818788E+01,1.67676E+00
2.2818972E+01,1.68652E+00
2.2819155E+01,1.79395E+00
2.2819338E+01,1.68652E+00
2.2819522E+01,1.74512E+00
2.2819705E+01,1.72559E+00
2.2819888E+01,1.67676E+00
2.2820071E+01,1.75488E+00
2.2820255E+01,1.69629E+00
2.2820438E+01,1.80371E+00
2.2820621E+01,1.73535E+00
2.2820805E+01,1.69629E+00
2.2820988E+01,1.64746E+00
2.2821171E+01,1.74512E+00
2.2821355E+01,1.68652E+00
2.2821538E+01,1.70605E+00
2.2821721E+01,1.76465E+00
2.2821904E+01,1.73535E+00
2.2822088E+01,1.72559E+00
2.2822271E+01,1.72559E+00
2.2822454E+01,1.67676E+00
2.2822638E+01,1.71582E+00
2.2822821E+01,1.75488E+00
2.2823004E+01,1.70605E+00
2.2823188E+01,1.66699E+00
2.2823371E+01,1.73535E+00
2.2823554E+01,1.78418E+00
2.2823737E+01,1.76465E+00
2.2823921E+01,1.73535E+00
2.2824104E+01,1.71582E+00
2.2824287E+01,1.67676E+00
2.2824471E+01,1.67676E+00
2.2824654E+01,1.76465E+00
2.2824837E+01,1.71582E+00
2.2825021E+01,1.76465E+00
2.2825204E+01,1.72559E+00
2.2825387E+01,1.64746E+00
2.2825570E+01,1.64746E+00
2.2825754E+01,1.73535E+00
2.2825937E+01,1.74512E+00
2.2826120E+01,1.70605E+00
2.2826304E+01,1.69629E+00
2.2826487E+01,1.74512E+00
2.2826670E+01,1.72559E+00
2.2826854E+01,1.67676E+00
2.2827037E+01,1.65723E+00
2.2827220E+01,1.71582E+00
2.2827403E+01,1.67676E+00
2.2827587E+01,1.62793E+00
2.2827770E+01,1.76465E+00
2.2827953E+01,1.72559E+00
2.2828137E+01,1.71582E+00
2.2828320E+01,1.75488E+00
2.2828503E+01,1.63770E+00
2.2828687E+01,1.70605E+00
2.2828870E+01,1.65723E+00
2.2829053E+01,1.71582E+00
2.2829236E+01,1.72559E+00
2.2829420E+01,1.71582E+00
2.2829603E+01,1.64746E+00
2.2829786E+01,1.73535E+00
2.2829970E+01,1.72559E+00
2.2830153E+01,1.79395E+00
2.2830336E+01,1.71582E+00
2.2830520E+01,1.72559E+00
2.2830703E+01,1.66699E+00
