time,C2
-4.9340118E+00,5.10742E-01
-4.9338282E+00,5.04883E-01
-4.9336446E+00,5.02930E-01
-4.9334610E+00,5.14648E-01
-4.9332774E+00,5.04883E-01
-4.9330938E+00,5.00977E-01
-4.9329102E+00,4.99023E-01
-4.9327266E+00,5.10742E-01
-4.9325430E+00,5.04883E-01
-4.9323594E+00,5.02930E-01
-4.9321758E+00,5.04883E-01
-4.9319922E+00,5.04883E-01
-4.9318086E+00,5.10742E-01
-4.9316250E+00,5.10742E-01
-4.9314414E+00,5.14648E-01
-4.9312578E+00,5.12695E-01
-4.9310742E+00,5.10742E-01
-4.9308906E+00,5.08789E-01
-4.9307070E+00,5.04883E-01
-4.9305234E+00,5.12695E-01
-4.9303398E+00,5.10742E-01
-4.9301562E+00,5.04883E-01
-4.9299726E+00,5.16602E-01
-4.9297890E+00,5.16602E-01
-4.9296054E+00,5.22461E-01
-4.9294218E+00,5.06836E-01
-4.9292382E+00,5.06836E-01
-4.9290546E+00,5.26367E-01
-4.9288710E+00,4.93164E-01
-4.9286874E+00,5.18555E-01
-4.9285038E+00,5.06836E-01
-4.9283202E+00,5.10742E-01
-4.9281366E+00,5.06836E-01
-4.9279530E+00,5.04883E-01
-4.9277694E+00,5.06836E-01
-4.9275858E+00,5.12695E-01
-4.9274022E+00,5.04883E-01
-4.9272186E+00,5.14648E-01
-4.9270350E+00,5.22461E-01
-4.9268514E+00,5.18555E-01
-4.9266678E+00,5.20508E-01
-4.9264842E+00,5.04883E-01
-4.9263006E+00,5.12695E-01
-4.9261170E+00,5.08789E-01
-4.9259334E+00,5.12695E-01
-4.9257498E+00,5.02930E-01
-4.9255662E+00,5.06836E-01
-4.9253826E+00,5.10742E-01
-4.9251990E+00,5.10742E-01
-4.9250154E+00,5.06836E-01
-4.9248318E+00,5.00977E-01
-4.9246482E+00,5.02930E-01
-4.9244646E+00,4.99023E-01
-4.9242810E+00,5.08789E-01
-4.9240974E+00,5.16602E-01
-4.9239138E+00,5.02930E-01
-4.9237302E+00,5.08789E-01
-4.9235466E+00,5.04883E-01
-4.9233630E+00,4.95117E-01
-4.9231794E+00,5.12695E-01
-4.9229958E+00,5.02930E-01
-4.9228122E+00,5.04883E-01
-4.9226286E+00,4.95117E-01
-4.9224450E+00,5.06836E-01
-4.9222614E+00,5.06836E-01
-4.9220778E+00,4.99023E-01
-4.9218942E+00,5.10742E-01
-4.9217106E+00,5.16602E-01
-4.9215270E+00,5.06836E-01
-4.9213434E+00,4.97070E-01
-4.9211598E+00,5.04883E-01
-4.9209762E+00,5.12695E-01
-4.9207926E+00,5.16602E-01
-4.9206090E+00,5.04883E-01
-4.9204254E+00,5.06836E-01
-4.9202418E+00,5.18555E-01
-4.9200582E+00,5.06836E-01
-4.9198746E+00,5.16602E-01
-4.9196910E+00,5.04883E-01
-4.9195074E+00,5.06836E-01
-4.9193238E+00,5.12695E-01
-4.9191402E+00,4.93164E-01
-4.9189566E+00,5.08789E-01
-4.9187730E+00,5.08789E-01
-4.9185894E+00,4.99023E-01
-4.9184058E+00,5.10742E-01
-4.9182222E+00,5.14648E-01
-4.9180386E+00,5.00977E-01
-4.9178550E+00,5.00977E-01
-4.9176714E+00,5.24414E-01
-4.9174878E+00,5.12695E-01
-4.9173042E+00,5.04883E-01
-4.9171206E+00,5.08789E-01
-4.9169370E+00,5.14648E-01
-4.9167534E+00,5.12695E-01
-4.9165698E+00,5.04883E-01
-4.9163862E+00,5.08789E-01
-4.9162026E+00,5.14648E-01
-4.9160190E+00,5.06836E-01
-4.9158354E+00,5.04883E-01
-4.9156518E+00,5.08789E-01
-4.9154682E+00,5.08789E-01
-4.9152846E+00,5.04883E-01
-4.9151010E+00,5.04883E-01
-4.9149174E+00,5.16602E-01
-4.9147338E+00,5.12695E-01
-4.9145502E+00,5.16602E-01
-4.9143666E+00,5.12695E-01
-4.9141830E+00,5.10742E-01
-4.9139994E+00,5.08789E-01
-4.9138158E+00,5.34180E-01
-4.9136322E+00,5.16602E-01
-4.9134486E+00,5.16602E-01
-4.9132650E+00,5.20508E-01
-4.9130814E+00,5.12695E-01
-4.9128978E+00,5.16602E-01
-4.9127142E+00,5.08789E-01
-4.9125306E+00,4.95117E-01
-4.9123470E+00,5.06836E-01
-4.9121634E+00,5.00977E-01
-4.9119798E+00,5.04883E-01
-4.9117962E+00,5.18555E-01
-4.9116126E+00,5.02930E-01
-4.9114290E+00,5.12695E-01
-4.9112454E+00,5.12695E-01
-4.9110618E+00,5.14648E-01
-4.9108782E+00,5.12695E-01
-4.9106946E+00,5.12695E-01
-4.9105110E+00,5.10742E-01
-4.9103274E+00,5.10742E-01
-4.9101438E+00,5.18555E-01
-4.9099602E+00,5.12695E-01
-4.9097766E+00,5.08789E-01
-4.9095930E+00,5.12695E-01
-4.9094094E+00,5.12695E-01
-4.9092258E+00,5.00977E-01
-4.9090422E+00,5.04883E-01
-4.9088586E+00,5.08789E-01
-4.9086750E+00,5.12695E-01
-4.9084914E+00,5.22461E-01
-4.9083078E+00,5.06836E-01
-4.9081242E+00,5.18555E-01
-4.9079406E+00,5.12695E-01
-4.9077570E+00,5.14648E-01
-4.9075734E+00,5.06836E-01
-4.9073898E+00,5.02930E-01
-4.9072062E+00,5.02930E-01
-4.9070226E+00,5.12695E-01
-4.9068390E+00,5.02930E-01
-4.9066554E+00,5.12695E-01
-4.9064718E+00,5.08789E-01
-4.9062882E+00,5.12695E-01
-4.9061046E+00,5.10742E-01
-4.9059210E+00,5.18555E-01
-4.9057374E+00,5.16602E-01
-4.9055538E+00,5.12695E-01
-4.9053702E+00,5.06836E-01
-4.9051866E+00,5.08789E-01
-4.9050030E+00,5.10742E-01
-4.9048194E+00,5.08789E-01
-4.9046358E+00,5.08789E-01
-4.9044522E+00,5.00977E-01
-4.9042686E+00,5.18555E-01
-4.9040850E+00,5.12695E-01
-4.9039014E+00,5.16602E-01
-4.9037178E+00,5.04883E-01
-4.9035342E+00,5.02930E-01
-4.9033506E+00,4.93164E-01
-4.9031670E+00,5.08789E-01
-4.9029834E+00,5.12695E-01
-4.9027998E+00,4.99023E-01
-4.9026162E+00,5.20508E-01
-4.9024326E+00,5.16602E-01
-4.9022490E+00,5.16602E-01
-4.9020654E+00,5.24414E-01
-4.9018818E+00,5.12695E-01
-4.9016982E+00,5.16602E-01
-4.9015146E+00,5.14648E-01
-4.9013310E+00,5.18555E-01
-4.9011474E+00,5.24414E-01
-4.9009638E+00,5.12695E-01
-4.9007802E+00,5.18555E-01
-4.9005966E+00,5.04883E-01
-4.9004130E+00,5.18555E-01
-4.9002294E+00,5.08789E-01
-4.9000458E+00,5.08789E-01
-4.8998622E+00,5.16602E-01
-4.8996786E+00,5.12695E-01
-4.8994950E+00,5.26367E-01
-4.8993114E+00,5.10742E-01
-4.8991278E+00,5.22461E-01
-4.8989442E+00,5.12695E-01
-4.8987606E+00,5.14648E-01
-4.8985770E+00,5.08789E-01
-4.8983934E+00,5.16602E-01
-4.8982098E+00,5.18555E-01
-4.8980262E+00,5.18555E-01
-4.8978426E+00,5.12695E-01
-4.8976590E+00,5.06836E-01
-4.8974754E+00,5.08789E-01
-4.8972918E+00,5.10742E-01
-4.8971082E+00,5.16602E-01
-4.8969246E+00,5.02930E-01
-4.8967410E+00,5.22461E-01
-4.8965574E+00,5.00977E-01
-4.8963738E+00,5.10742E-01
-4.8961902E+00,5.06836E-01
-4.8960066E+00,5.26367E-01
-4.8958230E+00,5.14648E-01
-4.8956394E+00,5.26367E-01
-4.8954558E+00,5.26367E-01
-4.8952722E+00,5.16602E-01
-4.8950886E+00,5.26367E-01
-4.8949050E+00,5.26367E-01
-4.8947214E+00,5.08789E-01
-4.8945378E+00,5.14648E-01
-4.8943542E+00,5.14648E-01
-4.8941706E+00,5.08789E-01
-4.8939870E+00,5.08789E-01
-4.8938034E+00,5.06836E-01
-4.8936198E+00,5.18555E-01
-4.8934362E+00,5.12695E-01
-4.8932526E+00,5.10742E-01
-4.8930690E+00,5.02930E-01
-4.8928854E+00,5.10742E-01
-4.8927018E+00,5.10742E-01
-4.8925182E+00,5.02930E-01
-4.8923346E+00,5.12695E-01
-4.8921510E+00,5.20508E-01
-4.8919674E+00,5.12695E-01
-4.8917838E+00,5.16602E-01
-4.8916002E+00,5.14648E-01
-4.8914166E+00,5.18555E-01
-4.8912330E+00,5.18555E-01
-4.8910494E+00,5.08789E-01
-4.8908658E+00,5.20508E-01
-4.8906822E+00,5.14648E-01
-4.8904986E+00,5.20508E-01
-4.8903150E+00,5.20508E-01
-4.8901314E+00,5.20508E-01
-4.8899478E+00,5.10742E-01
-4.8897642E+00,5.20508E-01
-4.8895806E+00,5.00977E-01
-4.8893970E+00,5.20508E-01
-4.8892134E+00,5.24414E-01
-4.8890298E+00,5.10742E-01
-4.8888462E+00,5.18555E-01
-4.8886626E+00,5.12695E-01
-4.8884790E+00,5.14648E-01
-4.8882954E+00,4.95117E-01
-4.8881118E+00,5.22461E-01
-4.8879282E+00,5.12695E-01
-4.8877446E+00,5.16602E-01
-4.8875610E+00,5.16602E-01
-4.8873774E+00,5.16602E-01
-4.8871938E+00,5.16602E-01
-4.8870102E+00,5.16602E-01
-4.8868266E+00,5.10742E-01
-4.8866430E+00,5.16602E-01
-4.8864594E+00,5.12695E-01
-4.8862758E+00,5.16602E-01
-4.8860922E+00,5.20508E-01
-4.8859086E+00,5.06836E-01
-4.8857250E+00,5.02930E-01
-4.8855414E+00,5.12695E-01
-4.8853578E+00,5.20508E-01
-4.8851742E+00,5.14648E-01
-4.8849906E+00,5.12695E-01
-4.8848070E+00,5.16602E-01
-4.8846234E+00,5.34180E-01
-4.8844398E+00,5.16602E-01
-4.8842562E+00,5.14648E-01
-4.8840726E+00,5.12695E-01
-4.8838890E+00,5.14648E-01
-4.8837054E+00,5.22461E-01
-4.8835218E+00,5.24414E-01
-4.8833382E+00,5.24414E-01
-4.8831546E+00,5.22461E-01
-4.8829710E+00,5.22461E-01
-4.8827874E+00,5.20508E-01
-4.8826038E+00,5.18555E-01
-4.8824202E+00,5.06836E-01
-4.8822366E+00,5.18555E-01
-4.8820530E+00,5.02930E-01
-4.8818694E+00,5.16602E-01
-4.8816858E+00,5.26367E-01
-4.8815022E+00,5.12695E-01
-4.8813186E+00,5.16602E-01
-4.8811350E+00,5.20508E-01
-4.8809514E+00,5.16602E-01
-4.8807678E+00,5.10742E-01
-4.8805842E+00,5.26367E-01
-4.8804006E+00,5.18555E-01
-4.8802170E+00,5.24414E-01
-4.8800334E+00,5.14648E-01
-4.8798498E+00,5.24414E-01
-4.8796662E+00,5.26367E-01
-4.8794826E+00,5.16602E-01
-4.8792990E+00,5.06836E-01
-4.8791154E+00,5.10742E-01
-4.8789318E+00,5.14648E-01
-4.8787482E+00,5.10742E-01
-4.8785646E+00,5.16602E-01
-4.8783810E+00,5.18555E-01
-4.8781974E+00,5.28320E-01
-4.8780138E+00,5.08789E-01
-4.8778302E+00,5.22461E-01
-4.8776466E+00,5.20508E-01
-4.8774630E+00,5.24414E-01
-4.8772794E+00,5.30273E-01
-4.8770958E+00,5.26367E-01
-4.8769122E+00,5.26367E-01
-4.8767286E+00,5.16602E-01
-4.8765450E+00,5.10742E-01
-4.8763614E+00,5.12695E-01
-4.8761778E+00,5.34180E-01
-4.8759942E+00,5.22461E-01
-4.8758106E+00,5.20508E-01
-4.8756270E+00,5.24414E-01
-4.8754434E+00,5.22461E-01
-4.8752598E+00,5.36133E-01
-4.8750762E+00,5.14648E-01
-4.8748926E+00,5.24414E-01
-4.8747090E+00,5.32227E-01
-4.8745254E+00,5.24414E-01
-4.8743418E+00,5.18555E-01
-4.8741582E+00,5.22461E-01
-4.8739746E+00,5.20508E-01
-4.8737910E+00,5.20508E-01
-4.8736074E+00,5.10742E-01
-4.8734238E+00,5.30273E-01
-4.8732402E+00,5.16602E-01
-4.8730566E+00,5.18555E-01
-4.8728730E+00,5.22461E-01
-4.8726894E+00,5.22461E-01
-4.8725058E+00,5.14648E-01
-4.8723222E+00,5.22461E-01
-4.8721386E+00,5.24414E-01
-4.8719550E+00,5.34180E-01
-4.8717714E+00,5.22461E-01
-4.8715878E+00,5.26367E-01
-4.8714042E+00,5.34180E-01
-4.8712206E+00,5.24414E-01
-4.8710370E+00,5.22461E-01
-4.8708534E+00,5.30273E-01
-4.8706698E+00,5.30273E-01
-4.8704862E+00,5.36133E-01
-4.8703026E+00,5.14648E-01
-4.8701190E+00,5.26367E-01
-4.8699354E+00,5.26367E-01
-4.8697518E+00,5.32227E-01
-4.8695682E+00,5.24414E-01
-4.8693846E+00,5.18555E-01
-4.8692010E+00,5.32227E-01
-4.8690174E+00,5.18555E-01
-4.8688338E+00,5.20508E-01
-4.8686502E+00,5.18555E-01
-4.8684666E+00,5.16602E-01
-4.8682830E+00,5.32227E-01
-4.8680994E+00,5.32227E-01
-4.8679158E+00,5.38086E-01
-4.8677322E+00,5.32227E-01
